8,/external/background.PNG,1
9,/css/main.css,3
9,/images/circle.gif,1
9,/images/main.jpg,7
11,/css/main.css,3
12,/external/background.PNG,1
13,footer.GIF,9
15,header.JPG,8
15,/images/main.jpg,7
16,footer.GIF,1
17,/css/main.css,9
18,/external/background.PNG,3
20,/external/background.PNG,3
20,/external/background.PNG,1
20,/images/circle.gif,3
22,/external/background.PNG,3
23,/css/profile.CSS,2
24,/external/background.PNG,5
24,header.JPG,9
25,/images/main.jpg,7
27,/external/profile.jpeg,1
28,/external/profile.jpeg,2
28,footer.GIF,1
29,footer.GIF,2
30,/images/circle.gif,9
30,/external/background.PNG,1
34,/images/main.jpg,3
35,/images/main.jpg,2
35,/images/circle.gif,3
36,footer.GIF,2
37,header.JPG,2
39,/images/main.jpg,2
40,header.JPG,3